Origin Airport,Destination Airport,Flight Time (Minutes)
Phoenix Sky Harbor International Airport,Tampa International Airport,294.99033939298687
Phoenix Sky Harbor International Airport,Austin-Bergstrom International Airport,172.2963533106993
Phoenix Sky Harbor International Airport,Washington Dulles International Airport,316.34414959202337
Phoenix Sky Harbor International Airport,Nashville International Airport,245.18193808243387
Phoenix Sky Harbor International Airport,Paris Charles de Gaulle Airport,778.2770596718416
Newark Liberty International Airport,Hartsfield-Jackson Atlanta International Airport,157.4824311324549
Newark Liberty International Airport,Dallas/Fort Worth International Airport,234.21926178353195
Newark Liberty International Airport,Denver International Airport,268.81302596338963
Newark Liberty International Airport,O'Hare International Airport,154.32223728649365
Newark Liberty International Airport,Los Angeles International Airport,369.4265695904535
Newark Liberty International Airport,John F. Kennedy International Airport,50.05816184739671
Newark Liberty International Airport,Harry Reid International Airport,342.0623364917578
Newark Liberty International Airport,Orlando International Airport,179.39153547032413
Newark Liberty International Airport,Miami International Airport,197.61930434633248
Newark Liberty International Airport,Charlotte Douglas International Airport,128.70825461998004
Newark Liberty International Airport,Seattle-Tacoma International Airport,362.9643007251704
Newark Liberty International Airport,Phoenix Sky Harbor International Airport,330.78053704884996
Newark Liberty International Airport,San Francisco International Airport,382.6934763786964
Newark Liberty International Airport,George Bush Intercontinental Airport,235.6075612722286
Newark Liberty International Airport,Logan International Airport,81.59840011462907
Newark Liberty International Airport,Fort Lauderdale-Hollywood International Airport,195.06634053213153
Newark Liberty International Airport,Minneapolis-Saint Paul International Airport,187.45896296864197
Newark Liberty International Airport,LaGuardia Airport,50.05816184739671
Newark Liberty International Airport,Detroit Metropolitan Airport,123.4835496568748
Newark Liberty International Airport,Philadelphia International Airport,50.05816184739671
Newark Liberty International Airport,Salt Lake City International Airport,310.8979212904683
Newark Liberty International Airport,Ronald Reagan Washington National Airport,74.85407145442497
Newark Liberty International Airport,San Diego International Airport,366.05672080324564
Newark Liberty International Airport,Baltimore/Washington International Airport,71.14836523048034
Newark Liberty International Airport,Tampa International Airport,186.68804220986294
Newark Liberty International Airport,Austin-Bergstrom International Airport,248.24422685606416
Newark Liberty International Airport,Washington Dulles International Airport,82.97047214511966
Newark Liberty International Airport,Nashville International Airport,155.58345268396488
Newark Liberty International Airport,Paris Charles de Gaulle Airport,535.2363618749317
San Francisco International Airport,Hartsfield-Jackson Atlanta International Airport,341.7921480084959
San Francisco International Airport,Dallas/Fort Worth International Airport,249.22491684011695
San Francisco International Airport,Denver International Airport,186.21637210539473
San Francisco International Airport,O'Hare International Airport,304.54964125994616
San Francisco International Airport,Los Angeles International Airport,98.80292605846066
San Francisco International Airport,John F. Kennedy International Airport,397.2396551870058
San Francisco International Airport,Harry Reid International Airport,114.78018119156472
San Francisco International Airport,Orlando International Airport,379.3879758239898
San Francisco International Airport,Miami International Airport,397.48293291749303
San Francisco International Airport,Charlotte Douglas International Airport,359.9297943973445
San Francisco International Airport,Seattle-Tacoma International Airport,148.1520767921864
San Francisco International Airport,Phoenix Sky Harbor International Airport,144.53075146979978
San Francisco International Airport,Newark Liberty International Airport,394.5107627204723
San Francisco International Airport,George Bush Intercontinental Airport,275.48830590348433
San Francisco International Airport,Logan International Airport,412.4614611125249
San Francisco International Airport,Fort Lauderdale-Hollywood International Airport,397.19039473807504
San Francisco International Airport,Minneapolis-Saint Paul International Airport,269.56111386453136
San Francisco International Airport,LaGuardia Airport,396.3782159892234
San Francisco International Airport,Detroit Metropolitan Airport,332.0253365297897
San Francisco International Airport,Philadelphia International Airport,388.8760198892521
San Francisco International Airport,Salt Lake City International Airport,137.88912440667113
San Francisco International Airport,Ronald Reagan Washington National Airport,378.70328980624606
San Francisco International Airport,San Diego International Airport,118.93580698678079
San Francisco International Airport,Baltimore/Washington International Airport,380.59158463356573
San Francisco International Airport,Tampa International Airport,372.5545385142251
San Francisco International Airport,Austin-Bergstrom International Airport,258.80756755223535
San Francisco International Airport,Washington Dulles International Airport,375.6733407029928
San Francisco International Airport,Nashville International Airport,317.9265360627938
San Francisco International Airport,Paris Charles de Gaulle Airport,791.8474525175853
George Bush Intercontinental Airport,Hartsfield-Jackson Atlanta International Airport,151.26157550905137
George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,86.49736787285467
George Bush Intercontinental Airport,Denver International Airport,171.81056327174954
George Bush Intercontinental Airport,O'Hare International Airport,181.57290426470354
George Bush Intercontinental Airport,Los Angeles International Airport,232.9664418176762
George Bush Intercontinental Airport,John F. Kennedy International Airport,241.33436862223368
George Bush Intercontinental Airport,Harry Reid International Airport,213.74827025534458
George Bush Intercontinental Airport,Orlando International Airport,170.0219852340707
George Bush Intercontinental Airport,Miami International Airport,184.04138563934322
George Bush Intercontinental Airport,Charlotte Douglas International Airport,177.39683570184377
