source airport, destination airport, distance (weighted km), number of passengers, aircraft type, expected time, ticket cost, net profit
Charlotte Douglas International Airport,Harry Reid International Airport,3036.54425028658,4,Airbus A220-300,295.99094990231686,452.0018663562011,-19888.082119672847
Charlotte Douglas International Airport,Orlando International Airport,754.0397854247005,5,Boeing 737-600,118.31052769193184,259.75314691120576,-7974.421610174015
Charlotte Douglas International Airport,Orlando International Airport,754.0397854247005,5,Boeing 767-800,118.31052769193184,186.79866280269061,-9657.490866899105
Charlotte Douglas International Airport,Orlando International Airport,754.0397854247005,5,Airbus A200-100,120.2391329135881,224.39909203385423,-7966.167767201825
Charlotte Douglas International Airport,Orlando International Airport,754.0397854247005,5,Airbus A220-300,120.2391329135881,174.88172473489658,-7519.914163600553
Charlotte Douglas International Airport,Miami International Airport,1055.4702090769206,5,Boeing 737-600,138.8439352976689,318.80014289636034,-9787.164386918263
Charlotte Douglas International Airport,Miami International Airport,1055.4702090769206,5,Boeing 767-800,138.8439352976689,233.2708355687845,-12060.102198906157
Charlotte Douglas International Airport,Miami International Airport,1055.4702090769206,5,Airbus A200-100,142.57834415263602,274.62165067229955,-9749.068598866636
Charlotte Douglas International Airport,Miami International Airport,1055.4702090769206,5,Airbus A220-300,142.57834415263602,211.47856078819555,-9093.578113892409
Charlotte Douglas International Airport,Seattle-Tacoma International Airport,3603.717188574698,7,Boeing 737-600,319.27014370277664,817.9744709037761,-23475.867314938372
