source airport,destination airport,distance (weighted in km),number of passengers for 2% market share (flight demand),Fuel for Boeing 737-600 (Gallons),Fuel for Boeing 767-800 (Gallons),Fuel for Airbus A200-100 (Gallons),Fuel for Airbus A220-300 (Gallons)
John F. Kennedy International Airport,Philadelphia International Airport,-1,29,-1.4690095485620658,-1.836261935702582,-1.4174653538756774,-1.2241746238017213
John F. Kennedy International Airport,Salt Lake City International Airport,3151.697953411049,6,4629.874387744352,5787.342984680439,4467.422654841042,3858.228656453626
John F. Kennedy International Airport,Ronald Reagan Washington National Airport,342.55277419890336,10,503.21329618461425,629.0166202307678,485.5566893009437,419.3444134871785
John F. Kennedy International Airport,San Diego International Airport,3863.7583674524035,15,5675.897935124159,7094.872418905198,5476.743621611031,4729.914945936799
John F. Kennedy International Airport,Baltimore/Washington International Airport,295.3979800549508,10,433.94245332666935,542.4280666583367,418.7164023327512,361.6187111055578
John F. Kennedy International Airport,Tampa International Airport,1609.6625593985282,15,2364.609669719291,2955.762087149114,2281.6409093782636,1970.5080580994093
John F. Kennedy International Airport,Austin-Bergstrom International Airport,2421.1076362442163,11,3556.630235739286,4445.787794674107,3431.8361923800135,2963.8585297827385
John F. Kennedy International Airport,Washington Dulles International Airport,366.0753438588152,10,537.7681756217411,672.2102195271763,518.8991168279958,448.1401463514509
John F. Kennedy International Airport,Nashville International Airport,1224.4443746258805,10,1798.7204780085256,2248.4005975106566,1735.6074787801565,1498.9337316737713
John F. Kennedy International Airport,Paris Charles de Gaulle Airport,5992.592952149281,60,8803.176267353032,11003.97033419129,8494.292889551172,7335.980222794192
Harry Reid International Airport,Hartsfield-Jackson Atlanta International Airport,2842.9116448536824,9,4176.2643520083475,5220.330440010434,4029.72876070981,3480.220293340289
Harry Reid International Airport,Dallas/Fort Worth International Airport,1708.8632563108256,12,2510.3364407074673,3137.9205508843343,2422.254460331767,2091.947033922889
Harry Reid International Airport,Denver International Airport,1014.1049638769264,4,1489.7298751793935,1862.1623439742418,1437.4586514888886,1241.4415626494945
Harry Reid International Airport,O'Hare International Airport,2460.2477759377934,14,3614.127474681204,4517.659343351505,3487.3159843415133,3011.77289556767
Harry Reid International Airport,Los Angeles International Airport,380.23321023628796,28,558.5662165175144,698.2077706468929,538.9674019028648,465.4718470979286
Harry Reid International Airport,John F. Kennedy International Airport,3671.394035030733,10,5393.312893993958,6741.641117492448,5204.07384508189,4494.427411661632
Harry Reid International Airport,Orlando International Airport,3327.8309369285066,4,4888.615422348222,6110.7692779352765,4717.085056651793,4073.846185290184
Harry Reid International Airport,Miami International Airport,3553.6428500821107,5,5220.335278949934,6525.419098687417,5037.165620039411,4350.279399124945
Harry Reid International Airport,Charlotte Douglas International Airport,3121.713801744472,4,4585.827382640617,5732.28422830077,4424.921158688316,3821.5228188671804
Harry Reid International Airport,Seattle-Tacoma International Airport,1387.6619353071926,6,2038.4886331423813,2548.110791427977,1966.9627161900175,1698.7405276186512
Harry Reid International Airport,Phoenix Sky Harbor International Airport,412.105184655371,7,605.3864512706732,756.7330640883415,584.1448214015269,504.4887093922277
Harry Reid International Airport,Newark Liberty International Airport,3636.4096895836346,10,5341.920556481977,6677.4006956024705,5154.484747482609,4451.60046373498
Harry Reid International Airport,San Francisco International Airport,664.32425640889,11,975.8986760060535,1219.873345007567,941.6566171988237,813.2488966717112
Harry Reid International Airport,George Bush Intercontinental Airport,1981.6419501707326,11,2911.0509466319595,3638.813683289949,2808.908808153645,2425.8757888599657
Harry Reid International Airport,Logan International Airport,3891.8741922814947,7,5717.200350263793,7146.500437829741,5516.596829201905,4764.333625219827
Harry Reid International Airport,Fort Lauderdale-Hollywood International Airport,3550.72276794132,5,5216.045650402527,6520.057063003158,5033.026504774369,4346.704708668773
