source airport,destination airport,airplane type,flight_hours,total Cost,break even cost per ticket, profit/loss per flight,profit/loss per hour, percent full
San Francisco International Airport,O'Hare International Airport,Boeing 737-600,3.10304494490022,25027.652098363826,701.0546806264377,7921.917891078745,2552.9497740914862,0.3949579831932773
San Francisco International Airport,O'Hare International Airport,Airbus A200-100,3.304231375393751,24289.83974403527,599.7491294823524,3898.3693416352908,1179.8112476825988,0.34814814814814815
San Francisco International Airport,Los Angeles International Airport,Boeing 737-600,0.5627806058957732,7813.658841110742,218.86999554932055,11665.770762778788,20728.80735506242,0.7478991596638656
San Francisco International Airport,Los Angeles International Airport,Boeing 767-800,0.5627806058957732,8767.073551388428,154.62210849009574,4994.294104230092,8874.318076900883,0.4708994708994709
San Francisco International Airport,Los Angeles International Airport,Airbus A200-100,0.5992685792450596,7679.846250194576,189.62583333813768,9196.85291689968,15346.796470600204,0.6592592592592592
San Francisco International Airport,Los Angeles International Airport,Airbus A220-300,0.5992685792450596,7178.049034258951,149.54268821372816,6131.250216762855,10231.222575504991,0.55625
San Francisco International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,9.63113910833541,69265.00456071709,1940.1962061825518,54907.552634966225,5701.044499237446,0.5378151260504201
San Francisco International Airport,Paris Charles de Gaulle Airport,Boeing 767-800,9.63113910833541,85581.25570089638,1509.369589081065,11018.398000291781,1144.038921705092,0.3386243386243386
San Francisco International Airport,Paris Charles de Gaulle Airport,Airbus A200-100,10.255575599974739,66975.00440069195,1653.7038123627642,38862.03959052496,3789.3572341878776,0.4740740740740741
San Francisco International Airport,Paris Charles de Gaulle Airport,Airbus A220-300,10.255575599974739,58387.50380059758,1216.4063291791163,19462.50126686586,1897.7483103838463,0.4
George Bush Intercontinental Airport,Dallas/Fort Worth International Airport,Boeing 737-600,0.37203983008769315,6521.112085944974,182.66420408809452,237.4634653145231,638.2743085829031,0.31092436974789917
George Bush Intercontinental Airport,O'Hare International Airport,Boeing 737-600,1.5494727101379986,14499.935922049122,406.16067008540966,4589.615571965131,2962.0499554047465,0.3949579831932773
George Bush Intercontinental Airport,O'Hare International Airport,Airbus A200-100,1.6499330287073852,14131.5171177667,348.9263485868321,2268.0212658144083,1374.614136666659,0.34814814814814815
George Bush Intercontinental Airport,Los Angeles International Airport,Boeing 737-600,2.2655098908443008,19352.131424447667,542.0765104887303,29434.75451953806,12992.551759978605,0.7563025210084033
George Bush Intercontinental Airport,Los Angeles International Airport,Boeing 767-800,2.2655098908443008,23190.164280559587,408.99760635907563,13619.62029175722,6011.724047994121,0.47619047619047616
George Bush Intercontinental Airport,Los Angeles International Airport,Airbus A200-100,2.412394598052887,18813.46014639688,464.5298801579476,22994.229067818407,9531.703099641207,0.6666666666666666
