Origin Airport,Destination Airport,Flight Time (Minutes)
Phoenix Sky Harbor International Airport,Newark Liberty International Airport,354.35965880018006
Phoenix Sky Harbor International Airport,San Francisco International Airport,147.14424500022747
Phoenix Sky Harbor International Airport,George Bush Intercontinental Airport,195.87811030588608
Phoenix Sky Harbor International Airport,Logan International Airport,377.23606809847433
Phoenix Sky Harbor International Airport,Fort Lauderdale-Hollywood International Airport,332.63880052561876
Phoenix Sky Harbor International Airport,Minneapolis-Saint Paul International Airport,232.09142004356107
Phoenix Sky Harbor International Airport,LaGuardia Airport,356.542289861317
Phoenix Sky Harbor International Airport,Detroit Metropolitan Airport,291.56779734924436
Phoenix Sky Harbor International Airport,Philadelphia International Airport,346.5261794933265
Phoenix Sky Harbor International Airport,Salt Lake City International Airport,128.89882005770303
Phoenix Sky Harbor International Airport,Ronald Reagan Washington National Airport,333.35370189053833
Phoenix Sky Harbor International Airport,San Diego International Airport,95.26071455046473
Phoenix Sky Harbor International Airport,Baltimore/Washington International Airport,336.08959672625167
Phoenix Sky Harbor International Airport,Tampa International Airport,307.5468399840362
Phoenix Sky Harbor International Airport,Austin-Bergstrom International Airport,177.52281111674336
Phoenix Sky Harbor International Airport,Washington Dulles International Airport,330.285127987186
Phoenix Sky Harbor International Airport,Nashville International Airport,255.13394479126075
Phoenix Sky Harbor International Airport,Paris Charles de Gaulle Airport,822.1675344348164
Newark Liberty International Airport,Hartsfield-Jackson Atlanta International Airport,161.61875552254685
Newark Liberty International Airport,Dallas/Fort Worth International Airport,243.3308312378146
Newark Liberty International Airport,Denver International Airport,279.5426457936188
Newark Liberty International Airport,O'Hare International Airport,158.23361964811122
Newark Liberty International Airport,Los Angeles International Airport,386.8091554360637
Newark Liberty International Airport,John F. Kennedy International Airport,48.608970414611946
Newark Liberty International Airport,Harry Reid International Airport,357.6707577738262
Newark Liberty International Airport,Orlando International Airport,185.07801058122297
Newark Liberty International Airport,Miami International Airport,204.48757985688462
Newark Liberty International Airport,Charlotte Douglas International Airport,131.1086708625599
Newark Liberty International Airport,Seattle-Tacoma International Airport,379.92790430369087
Newark Liberty International Airport,Phoenix Sky Harbor International Airport,345.6575010044002
Newark Liberty International Airport,San Francisco International Airport,400.93622431277515
Newark Liberty International Airport,George Bush Intercontinental Airport,244.93881168237183
Newark Liberty International Airport,Logan International Airport,81.56928320191729
Newark Liberty International Airport,Fort Lauderdale-Hollywood International Airport,201.76909421297177
Newark Liberty International Airport,Minneapolis-Saint Paul International Airport,193.66849107119003
Newark Liberty International Airport,LaGuardia Airport,48.608970414611946
Newark Liberty International Airport,Detroit Metropolitan Airport,125.54522129195664
Newark Liberty International Airport,Philadelphia International Airport,48.608970414611946
Newark Liberty International Airport,Salt Lake City International Airport,324.48579257596964
Newark Liberty International Airport,Ronald Reagan Washington National Airport,75.01252690824973
Newark Liberty International Airport,San Diego International Airport,383.2208219472677
Newark Liberty International Airport,Baltimore/Washington International Airport,71.06656061044495
Newark Liberty International Airport,Tampa International Airport,192.8475875379407
Newark Liberty International Airport,Austin-Bergstrom International Airport,258.39477756230224
Newark Liberty International Airport,Washington Dulles International Airport,83.03031374867045
Newark Liberty International Airport,Nashville International Airport,159.72632682300087
Newark Liberty International Airport,Paris Charles de Gaulle Airport,563.3692529345908
San Francisco International Airport,Hartsfield-Jackson Atlanta International Airport,357.2533812460452
San Francisco International Airport,Dallas/Fort Worth International Airport,259.3093804134529
San Francisco International Airport,Denver International Airport,192.21566629483112
San Francisco International Airport,O'Hare International Airport,317.576200094018
San Francisco International Airport,Los Angeles International Airport,99.88926742122806
San Francisco International Airport,John F. Kennedy International Airport,416.4255070218431
San Francisco International Airport,Harry Reid International Airport,116.27756849757701
San Francisco International Airport,Orlando International Airport,397.41641108474136
San Francisco International Airport,Miami International Airport,416.6845577040872
San Francisco International Airport,Charlotte Douglas International Airport,376.696655257907
San Francisco International Airport,Seattle-Tacoma International Airport,151.8131364503269
San Francisco International Airport,Phoenix Sky Harbor International Airport,147.9570219037416
San Francisco International Airport,Newark Liberty International Airport,413.51968636242447
San Francisco International Airport,George Bush Intercontinental Airport,286.7803889386208
San Francisco International Airport,Logan International Airport,432.6342212436321
