Origin Airport,Destination Airport,Aircraft,Flight Time (Minutes)
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Boeing 737-600,203.47673344966884
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Boeing 767-800,203.47673344966884
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Airbus A200-100,212.7193626954739
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Airbus A220-300,212.7193626954739
Dallas/Fort Worth International Airport,Tampa International Airport,Boeing 737-600,171.46962868890836
Dallas/Fort Worth International Airport,Tampa International Airport,Boeing 767-800,171.46962868890836
Dallas/Fort Worth International Airport,Tampa International Airport,Airbus A200-100,177.89740385990348
Dallas/Fort Worth International Airport,Tampa International Airport,Airbus A220-300,177.89740385990348
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Boeing 737-600,76.08869903020744
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Boeing 767-800,76.08869903020744
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Airbus A200-100,75.82334513781424
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Airbus A220-300,75.82334513781424
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Boeing 737-600,198.45711883851288
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Boeing 767-800,198.45711883851288
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Airbus A200-100,207.25829976377162
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Airbus A220-300,207.25829976377162
Dallas/Fort Worth International Airport,Nashville International Airport,Boeing 737-600,138.4695000404701
Dallas/Fort Worth International Airport,Nashville International Airport,Boeing 767-800,138.4695000404701
Dallas/Fort Worth International Airport,Nashville International Airport,Airbus A200-100,141.99508998447806
Dallas/Fort Worth International Airport,Nashville International Airport,Airbus A220-300,141.99508998447806
Dallas/Fort Worth International Airport,Paris Charles de Gaulle Airport,Boeing 737-600,636.8875042438495
