source airport,destination airport,airplane type,total Cost,break even cost per ticket, profit/loss per flight, percent full
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 767-800,27067.960205321422,477.38906887692104,-17042.78975890608,0.1111111111111111
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A200-100,21806.846474283207,538.4406536860051,-10499.5927468771,0.15555555555555556
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A220-300,19378.64013688095,403.7216695183531,-10900.485076995534,0.13125
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,13692.430402156671,383.54146784752584,-3720.3522381209987,0.2184873949579832
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,16115.53800269584,284.22465613220174,-8725.696943258594,0.13756613756613756
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,13352.345124888017,329.6875339478523,-4780.469242243858,0.1925925925925926
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,12077.025335130558,251.60469448188664,-5535.303278601506,0.1625
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 737-600,19590.757535456447,548.7607152788921,-384.1325006952211,0.29411764705882354
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 767-800,23488.446919320562,414.25832309207345,-8989.405611097991,0.18518518518518517
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A200-100,19043.713411405348,470.2151459606259,-2586.1833027834437,0.25925925925925924
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A220-300,16992.29794621371,354.00620721278557,-4602.080693766213,0.21875
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 737-600,20292.134412836953,568.4071264099988,738.9292643330009,0.31092436974789917
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 767-800,24365.16801604619,429.720776297111,-8465.499293053084,0.19576719576719576
Dallas/Fort Worth International Airport,San Francisco International Airport,Airbus A200-100,19720.480573790042,486.9254462664208,-1704.2390619324724,0.2740740740740741
Dallas/Fort Worth International Airport,San Francisco International Airport,Airbus A220-300,17576.778677364127,366.1828891117527,-4028.011780229279,0.23125
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 737-600,6529.30321630585,182.89364751557005,420.6553892858119,0.31932773109243695
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 767-800,7161.629020382312,126.30739013019951,-2361.94819543473,0.20105820105820105
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Airbus A200-100,6440.555735031961,159.02606753165335,-397.56516882913365,0.2814814814814815
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Airbus A220-300,6107.752680254875,127.24484750530989,-1272.4484750530983,0.2375
