aircraft tail number,flight number,source airport,destination airport,departure time,arrival time,number of passengers
N00006,1158,Hartsfield-Jackson Atlanta International Airport,Orlando International Airport,4640,4768,22
N00006,1200,Orlando International Airport,Miami International Airport,4794,4883,18
N00006,1231,Miami International Airport,George Bush Intercontinental Airport,4909,5095,75
N00006,1289,George Bush Intercontinental Airport,Denver International Airport,5131,5308,45
N00006,1346,Denver International Airport,Tampa International Airport,5334,5591,12
N00006,1423,Tampa International Airport,John F. Kennedy International Airport,5617,5810,70
N00006,1478,John F. Kennedy International Airport,Baltimore/Washington International Airport,5836,5924,20
N00006,1511,Baltimore/Washington International Airport,LaGuardia Airport,5950,6038,18
N00006,1543,LaGuardia Airport,Ronald Reagan Washington National Airport,6074,6184,20
N00006,1583,Ronald Reagan Washington National Airport,Logan International Airport,6210,6335,14
N00006,1628,Logan International Airport,Ronald Reagan Washington National Airport,6361,6486,14
N00006,1659,Ronald Reagan Washington National Airport,Hartsfield-Jackson Atlanta International Airport,6512,6655,27
N00006,1699,Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,6681,6943,20
N00006,1761,Salt Lake City International Airport,Minneapolis-Saint Paul International Airport,6979,7170,15
N00006,1805,Minneapolis-Saint Paul International Airport,Charlotte Douglas International Airport,7196,7417,28
N00006,1853,Charlotte Douglas International Airport,Ronald Reagan Washington National Airport,7443,7554,8
N00006,1884,Ronald Reagan Washington National Airport,Charlotte Douglas International Airport,7580,7691,8
N00006,1914,Charlotte Douglas International Airport,Fort Lauderdale-Hollywood International Airport,7717,7868,15
N00006,1955,Fort Lauderdale-Hollywood International Airport,Dallas/Fort Worth International Airport,7904,8109,48
N00006,2073,Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,8665,8880,33
N00006,2112,Ronald Reagan Washington National Airport,Detroit Metropolitan Airport,8906,9032,12
